ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
QQQ260702C00684000,QQQ,684.0,2026-07-02,call,30.81,7,23195.0,711.21,6,0.347,0.8194,0.008306,-0.7514,0.2396,0.0907,2026-06-26T18:16:58.061720Z,2026-06-26T18:17:21.524274Z
QQQ260702P00684000,QQQ,684.0,2026-07-02,put,0.06,305,2868.0,725.27,1,0.4818,-0.0096,0.001412,-0.2354,0.0098,-0.0002,2026-07-01T20:10:52.135821Z,2026-07-01T20:11:08.839810Z
QQQ260702C00685000,QQQ,685.0,2026-07-02,call,38.47,22,96460.0,725.27,1,0.7823,0.9358,0.004211,-1.9399,0.0479,0.0175,2026-07-01T20:01:36.714609Z,2026-07-01T20:02:05.058682Z
QQQ260702P00685000,QQQ,685.0,2026-07-02,put,0.06,2162,23394.0,725.27,1,0.4713,-0.0098,0.001469,-0.2343,0.01,-0.0002,2026-07-01T20:12:41.135361Z,2026-07-01T20:13:09.989974Z
QQQ260702C00686000,QQQ,686.0,2026-07-02,call,41.0,1,4100.0,726.12,1,0.7299,0.9344,0.004602,-1.8382,0.0485,0.0175,2026-07-01T13:39:39.748654Z,2026-07-01T13:39:59.590562Z
QQQ260702P00686000,QQQ,686.0,2026-07-02,put,0.07,1973,16589.0,725.27,1,0.4701,-0.0113,0.001665,-0.2643,0.0113,-0.0002,2026-07-01T20:09:16.367008Z,2026-07-01T20:09:37.825777Z
QQQ260702C00687000,QQQ,687.0,2026-07-02,call,41.99,1,4199.0,728.3,1,0.7023,0.9462,0.004081,-1.5313,0.0417,0.0177,2026-07-01T16:53:00.225788Z,2026-07-01T16:53:21.626851Z
QQQ260702P00687000,QQQ,687.0,2026-07-02,put,0.07,1313,11206.0,725.27,1,0.4594,-0.0116,0.001735,-0.2629,0.0115,-0.0002,2026-07-01T20:10:03.698664Z,2026-07-01T20:10:08.291628Z
QQQ260702C00688000,QQQ,688.0,2026-07-02,call,48.32,12,57843.0,735.92,2,0.4728,0.9742,0.002325,-0.4563,0.0326,0.0366,2026-06-30T18:34:11.383922Z,2026-06-30T18:34:30.249216Z
QQQ260702P00688000,QQQ,688.0,2026-07-02,put,0.08,1402,18531.0,725.27,1,0.4568,-0.0131,0.001945,-0.2914,0.0128,-0.0003,2026-07-01T20:07:52.550155Z,2026-07-01T20:08:07.032675Z
QQQ260702C00689000,QQQ,689.0,2026-07-02,call,41.26,1,4126.0,729.41,1,0.7244,0.9363,0.00451,-1.7928,0.0476,0.0176,2026-07-01T14:31:51.856930Z,2026-07-01T14:32:19.264656Z
QQQ260702P00689000,QQQ,689.0,2026-07-02,put,0.07,1526,21091.0,725.27,1,0.4379,-0.0121,0.00189,-0.2602,0.0119,-0.0002,2026-07-01T20:13:39.355763Z,2026-07-01T20:13:40.835868Z
QQQ260702C00690000,QQQ,690.0,2026-07-02,call,35.15,53,208402.0,725.35,1,0.6438,0.9403,0.004844,-1.5207,0.0451,0.0177,2026-07-01T19:58:16.413401Z,2026-07-01T19:58:28.909649Z
QQQ260702P00690000,QQQ,690.0,2026-07-02,put,0.09,2641,34221.0,725.27,1,0.4422,-0.015,0.002256,-0.3168,0.0144,-0.0003,2026-07-01T20:14:18.099930Z,2026-07-01T20:14:43.933869Z
QQQ260702C00691000,QQQ,691.0,2026-07-02,call,34.86,9,31522.0,725.24,1,0.5902,0.9434,0.005076,-1.3428,0.0432,0.0178,2026-07-01T19:58:32.686939Z,2026-07-01T19:59:01.558486Z
QQQ260702P00691000,QQQ,691.0,2026-07-02,put,0.09,766,9338.0,725.27,1,0.4311,-0.0154,0.00236,-0.3149,0.0147,-0.0003,2026-07-01T20:07:03.090226Z,2026-07-01T20:07:06.878903Z
QQQ260702C00692000,QQQ,692.0,2026-07-02,call,39.55,10,38563.0,731.2,1,0.5738,0.9681,0.003261,-0.8571,0.0274,0.0183,2026-07-01T15:21:48.851181Z,2026-07-01T15:22:16.929535Z
QQQ260702P00692000,QQQ,692.0,2026-07-02,put,0.1,970,14402.0,725.27,1,0.4265,-0.017,0.002608,-0.3405,0.016,-0.0003,2026-07-01T20:12:41.137087Z,2026-07-01T20:13:09.989974Z
QQQ260702C00693000,QQQ,693.0,2026-07-02,call,36.01,5,18005.0,728.44,1,0.5921,0.9482,0.004694,-1.2656,0.0404,0.0179,2026-07-01T16:55:29.262335Z,2026-07-01T16:55:56.970369Z
QQQ260702P00693000,QQQ,693.0,2026-07-02,put,0.1,618,10551.0,725.27,1,0.4153,-0.0174,0.002734,-0.3384,0.0164,-0.0003,2026-07-01T20:12:15.155225Z,2026-07-01T20:12:39.854277Z
QQQ260702C00694000,QQQ,694.0,2026-07-02,call,34.77,10,34770.0,727.32,1,0.7221,0.8966,0.006541,-2.5367,0.0685,0.0169,2026-07-01T13:32:39.122107Z,2026-07-01T13:33:07.564688Z
QQQ260702P00694000,QQQ,694.0,2026-07-02,put,0.11,673,11915.0,725.27,1,0.4098,-0.0192,0.003008,-0.3625,0.0178,-0.0004,2026-07-01T20:10:56.097558Z,2026-07-01T20:11:08.839810Z
