id,ts,underlying,ticker,strike,expiry,contract_type,last_price,volume,premium,underlying_price,dte,iv,delta,gamma,theta,vega,rho
223881524,2026-07-10T13:41:59.831951Z,TSLA,TSLA261120C00600000,600.0,2026-11-20,call,8.55,60,51300.0,406.94,133,0.5151,0.149,0.001835,-0.1169,0.5703,0.1899
223881511,2026-07-10T13:41:59.816783Z,TSLA,TSLA260713P00410000,410.0,2026-07-13,put,7.68,99,76032.0,406.94,3,0.4141,-0.5679,0.025735,-0.9716,0.145,-0.0196
223881510,2026-07-10T13:41:59.815811Z,TSLA,TSLA260713P00407500,407.5,2026-07-13,put,6.2,101,62620.0,406.94,3,0.407,-0.5035,0.026567,-0.9723,0.1472,-0.0174
223881506,2026-07-10T13:41:59.799337Z,TSLA,TSLA260713C00407500,407.5,2026-07-13,call,5.48,101,55348.0,406.94,3,0.3859,0.4955,0.02802,-0.9707,0.1472,0.0161
223881504,2026-07-10T13:41:59.796938Z,TSLA,TSLA260713C00402500,402.5,2026-07-13,call,8.21,99,81279.0,406.94,3,0.384,0.6343,0.026548,-0.919,0.1388,0.0205
223881503,2026-07-10T13:41:59.795586Z,TSLA,TSLA260713C00400000,400.0,2026-07-13,call,9.81,99,97119.0,406.94,3,0.3813,0.7004,0.024702,-0.8485,0.1282,0.0226
223881074,2026-07-10T13:41:59.238754Z,TSLA,TSLA260713C00377500,377.5,2026-07-13,call,29.55,10,29550.0,406.94,3,,,,,,
223880522,2026-07-10T13:41:55.565956Z,TSLA,TSLA260717C00410000,410.0,2026-07-17,call,9.05,69,62445.0,405.08,7,0.4971,0.4489,0.014189,-0.8094,0.222,0.0331
223880069,2026-07-10T13:41:52.515402Z,TSLA,TSLA260717P00395000,395.0,2026-07-17,put,5.45,59,32155.0,405.08,7,0.4433,-0.3245,0.014464,-0.622,0.2018,-0.0263
223878982,2026-07-10T13:41:25.535841Z,TSLA,TSLA260715C00375000,375.0,2026-07-15,call,33.0,15,49500.0,405.08,5,0.6793,0.8456,0.007378,-0.8036,0.1127,0.0424
223878758,2026-07-10T13:41:24.424261Z,TSLA,TSLA260807C00400000,400.0,2026-08-07,call,25.96,10,25960.0,405.08,28,0.5091,0.5732,0.006867,-0.4254,0.44,0.1582
223878753,2026-07-10T13:41:24.418708Z,TSLA,TSLA260717C00410000,410.0,2026-07-17,call,9.05,34,30770.0,405.08,7,0.4971,0.4489,0.014189,-0.8094,0.222,0.0331
223878378,2026-07-10T13:41:22.434572Z,TSLA,TSLA260821C00410000,410.0,2026-08-21,call,25.2,10,25200.0,405.08,42,0.4837,0.516,0.005997,-0.3381,0.5477,0.2115
223878159,2026-07-10T13:41:21.386705Z,TSLA,TSLA260713C00410000,410.0,2026-07-13,call,4.4,213,93720.0,405.08,3,0.4416,0.3927,0.023702,-1.0583,0.1412,0.0127
223876877,2026-07-10T13:41:15.376167Z,TSLA,TSLA260713P00410000,410.0,2026-07-13,put,8.04,99,79596.0,405.08,3,0.361,-0.6335,0.028393,-0.7989,0.1382,-0.0218
223876876,2026-07-10T13:41:15.375145Z,TSLA,TSLA260713P00407500,407.5,2026-07-13,put,6.5,101,65650.0,405.08,3,0.3599,-0.5615,0.02982,-0.8396,0.1448,-0.0192
