ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
SPY260702P00664000,SPY,664.0,2026-07-02,put,0.02,30,45.0,742.93,1,0.7618,-0.0023,0.000239,-0.1049,0.0028,-0.0,2026-07-01T13:45:51.763655Z,2026-07-01T13:46:20.961552Z
SPY260702C00665000,SPY,665.0,2026-07-02,call,82.45,8,65422.0,747.14,1,1.0614,0.9832,0.001004,-0.9187,0.0163,0.0179,2026-07-01T18:43:12.185777Z,2026-07-01T18:43:13.417882Z
SPY260702P00665000,SPY,665.0,2026-07-02,put,0.01,51,54.0,747.33,1,0.7408,-0.0012,0.000139,-0.0583,0.0016,-0.0,2026-07-01T17:57:47.835033Z,2026-07-01T17:57:48.361652Z
SPY260702C00666000,SPY,666.0,2026-07-02,call,83.07,7,56541.0,748.74,1,1.078,0.9823,0.00103,-0.9734,0.0171,0.0179,2026-07-01T16:01:21.960632Z,2026-07-01T16:01:44.067637Z
SPY260702P00666000,SPY,666.0,2026-07-02,put,0.01,60,72.0,745.04,1,0.7143,-0.0013,0.00015,-0.058,0.0016,-0.0,2026-07-01T13:59:37.104976Z,2026-07-01T13:59:47.277003Z
SPY260702C00667000,SPY,667.0,2026-07-02,call,81.91,1,8191.0,748.68,1,0.9986,0.9874,0.000833,-0.6926,0.0128,0.018,2026-07-01T15:44:10.379199Z,2026-07-01T15:44:22.279027Z
SPY260702P00667000,SPY,667.0,2026-07-02,put,0.02,49,97.0,745.04,1,0.7513,-0.0023,0.000244,-0.1048,0.0028,-0.0,2026-07-01T13:59:36.920569Z,2026-07-01T13:59:47.277003Z
SPY260702C00668000,SPY,668.0,2026-07-02,call,81.0,1,8100.0,748.68,1,1.0477,0.9825,0.001053,-0.9417,0.0169,0.0179,2026-07-01T15:44:10.387202Z,2026-07-01T15:44:22.279027Z
SPY260702P00668000,SPY,668.0,2026-07-02,put,0.03,2,8.0,740.32,3,0.4233,-0.0034,0.000362,-0.0485,0.0069,-0.0002,2026-06-29T18:22:44.737647Z,2026-06-29T18:23:05.600204Z
SPY260702C00669000,SPY,669.0,2026-07-02,call,79.81,17,135109.0,748.46,1,1.0504,0.9808,0.001137,-1.0172,0.0183,0.0179,2026-07-01T15:52:46.844108Z,2026-07-01T15:53:01.530081Z
