ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at,is_call,dealer_gex_volw
TSLA260702C00350000,TSLA,350.0,2026-07-02,call,76.29,141.0,1060910.0,426.25,1,1.8703,0.9817,0.001072,-0.9801,0.01,0.0094,2026-07-01T19:54:34.978568Z,2026-07-01T19:54:52.955531Z,True,-26229.491945764807
TSLA260702P00350000,TSLA,350.0,2026-07-02,put,0.04,2060.0,7366.0,425.25,1,1.4233,-0.004,0.000373,-0.187,0.0026,-0.0,2026-07-01T19:58:24.850565Z,2026-07-01T19:58:28.909649Z,False,-133337.41545786202
TSLA260702C00352500,TSLA,352.5,2026-07-02,call,72.8,77.0,559260.0,424.96,1,1.7772,0.9802,0.001215,-0.992,0.0107,0.0094,2026-07-01T18:50:55.182690Z,2026-07-01T18:51:25.446879Z,True,-16234.651999219497
TSLA260702P00352500,TSLA,352.5,2026-07-02,put,0.05,119.0,900.0,426.01,1,1.4221,-0.0049,0.000447,-0.2245,0.0032,-0.0001,2026-07-01T19:55:39.102459Z,2026-07-01T19:55:53.942801Z,False,-9230.611338725701
TSLA260702C00355000,TSLA,355.0,2026-07-02,call,72.23,25.0,182146.0,426.91,1,1.7364,0.9811,0.001191,-0.9393,0.0103,0.0095,2026-07-01T17:21:40.960815Z,2026-07-01T17:21:55.993273Z,True,-5166.8725698975
TSLA260702P00355000,TSLA,355.0,2026-07-02,put,0.06,118.0,677.0,426.2,1,1.4061,-0.0058,0.000529,-0.2597,0.0037,-0.0001,2026-07-01T19:18:26.194229Z,2026-07-01T19:18:35.725599Z,False,-10832.124922187799
TSLA260702C00357500,TSLA,357.5,2026-07-02,call,68.14,73.0,497355.0,426.86,1,1.6472,0.9801,0.001316,-0.9275,0.0107,0.0096,2026-07-01T19:53:34.161377Z,2026-07-01T19:53:52.397522Z,True,-16670.734308813197
TSLA260702P00357500,TSLA,357.5,2026-07-02,put,0.03,119.0,814.0,430.77,1,1.3259,-0.0032,0.000328,-0.1463,0.0022,-0.0,2026-07-01T15:42:53.434384Z,2026-07-01T15:43:20.951007Z,False,-6773.245009176799
TSLA260702C00360000,TSLA,360.0,2026-07-02,call,65.82,54.0,365116.0,425.28,1,1.7566,0.9685,0.00181,-1.4264,0.0158,0.0095,2026-07-01T19:59:38.027621Z,2026-07-01T20:00:03.163208Z,True,-16960.877413325998
TSLA260702P00360000,TSLA,360.0,2026-07-02,put,0.04,455.0,2416.0,426.01,1,1.2481,-0.0045,0.000473,-0.1831,0.0029,-0.0001,2026-07-01T19:55:23.458355Z,2026-07-01T19:55:23.686635Z,False,-37346.3805249535
TSLA260702C00362500,TSLA,362.5,2026-07-02,call,63.17,4.0,25284.0,426.25,1,0.9633,0.9861,0.001175,-0.3111,0.0111,0.0195,2026-07-01T19:54:44.660474Z,2026-07-01T19:54:52.955531Z,True,-815.5936550300001
TSLA260702P00362500,TSLA,362.5,2026-07-02,put,0.04,127.0,784.0,426.01,1,1.2018,-0.0047,0.000507,-0.1819,0.003,-0.0001,2026-07-01T19:56:00.431382Z,2026-07-01T19:56:25.042748Z,False,-11173.459543346102
TSLA260702C00365000,TSLA,365.0,2026-07-02,call,60.63,105.0,654702.0,426.18,1,0.9397,0.9991,0.00014,-0.0757,0.0007,0.01,2026-07-01T19:01:16.152399Z,2026-07-01T19:01:42.434204Z,True,-2550.89930403
TSLA260702P00365000,TSLA,365.0,2026-07-02,put,0.05,853.0,5559.0,425.93,1,1.1839,-0.0058,0.000625,-0.2174,0.0037,-0.0001,2026-07-01T19:06:02.024364Z,2026-07-01T19:06:19.919828Z,False,-92513.48241231249
TSLA260702C00367500,TSLA,367.5,2026-07-02,call,58.16,1.0,5816.0,426.86,1,0.7934,0.9928,0.0008,-0.1686,0.0062,0.02,2026-07-01T19:53:35.304602Z,2026-07-01T19:53:52.397522Z,True,-138.82445192
TSLA260702P00367500,TSLA,367.5,2026-07-02,put,0.04,149.0,964.0,426.2,1,1.1129,-0.005,0.000583,-0.1795,0.0032,-0.0001,2026-07-01T19:43:04.710731Z,2026-07-01T19:43:06.527715Z,False,-15074.079581168302
TSLA260702C00370000,TSLA,370.0,2026-07-02,call,56.67,184.0,1022336.0,426.71,1,1.1954,0.9888,0.001103,-0.4368,0.0066,0.01,2026-07-01T19:52:52.344704Z,2026-07-01T19:53:21.442286Z,True,-35218.375207584795
TSLA260702P00370000,TSLA,370.0,2026-07-02,put,0.06,717.0,5539.0,426.25,1,1.1194,-0.0072,0.0008,-0.2492,0.0045,-0.0001,2026-07-01T19:54:36.430648Z,2026-07-01T19:54:52.955531Z,False,-99537.13202664
TSLA260702C00372500,TSLA,372.5,2026-07-02,call,53.16,23.0,119957.0,426.86,1,1.0953,0.9911,0.000986,-0.3394,0.0054,0.0101,2026-07-01T19:53:34.266689Z,2026-07-01T19:53:52.397522Z,True,-3935.3261508022
TSLA260702P00372500,TSLA,372.5,2026-07-02,put,0.05,1948.0,14776.0,425.28,1,1.0334,-0.0066,0.000803,-0.2121,0.0041,-0.0001,2026-07-01T19:59:51.259347Z,2026-07-01T20:00:03.163208Z,False,-271444.1449614356
TSLA260702C00375000,TSLA,375.0,2026-07-02,call,50.47,59.0,298803.0,425.63,1,1.231,0.9742,0.002196,-0.8652,0.0133,0.01,2026-07-01T18:59:37.371826Z,2026-07-01T18:59:37.934407Z,True,-22483.314110703603
TSLA260702P00375000,TSLA,375.0,2026-07-02,put,0.06,996.0,8324.0,426.01,1,1.0208,-0.0078,0.000947,-0.2449,0.0048,-0.0001,2026-07-01T19:56:02.189923Z,2026-07-01T19:56:25.042748Z,False,-163676.11118045883
TSLA260702C00377500,TSLA,377.5,2026-07-02,call,48.24,238.0,1258476.0,426.86,1,0.9358,0.9937,0.000856,-0.2326,0.004,0.0103,2026-07-01T19:53:36.301120Z,2026-07-01T19:53:52.397522Z,True,-35353.03492594719
TSLA260702P00377500,TSLA,377.5,2026-07-02,put,0.07,361.0,2608.0,426.25,1,0.9966,-0.0092,0.001116,-0.2755,0.0055,-0.0001,2026-07-01T19:54:46.546712Z,2026-07-01T19:54:52.955531Z,False,-69911.2998646524
TSLA260702C00380000,TSLA,380.0,2026-07-02,call,46.07,203.0,964167.0,426.01,1,0.7845,0.9975,0.000444,-0.1146,0.0017,0.0104,2026-07-01T19:56:09.107217Z,2026-07-01T19:56:25.042748Z,True,-15640.656875566803
TSLA260702P00380000,TSLA,380.0,2026-07-02,put,0.08,936.0,9751.0,425.28,1,0.9489,-0.0109,0.00136,-0.3029,0.0064,-0.0001,2026-07-01T19:59:47.061199Z,2026-07-01T20:00:03.163208Z,False,-220897.467895104
TSLA260702C00382500,TSLA,382.5,2026-07-02,call,43.37,211.0,963974.0,426.12,1,0.9058,0.9896,0.001368,-0.326,0.0062,0.0104,2026-07-01T19:56:55.810700Z,2026-07-01T19:57:27.385180Z,True,-50089.250497255205
